energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
0.9599999999999999,100.0,78.4,29.77
0.9599999999999999,100.0,78.4,29.77
0.9599999999999999,100.0,78.4,29.77
0.9599999999999999,100.0,78.4,29.77
0.66,102.11,69.06,29.13
0.66,102.11,69.06,29.13
0.66,102.11,69.06,29.13
0.66,102.11,69.06,29.13
0.65,96.29,62.43,29.84
0.65,96.29,62.43,29.84
0.65,96.29,62.43,29.84
0.65,96.29,62.43,29.84
2.74,90.36,63.11,32.49
2.74,90.36,63.11,32.49
2.74,90.36,63.11,32.49
2.74,90.36,63.11,32.49
28.030000000000005,88.62000000000002,61.99,70.5
28.030000000000005,88.62000000000002,61.99,70.5
28.030000000000005,88.62000000000002,61.99,70.5
28.030000000000005,88.62000000000002,61.99,70.5
89.81,80.54,74.12999999999998,98.12000000000002
89.81,80.54,74.12999999999998,98.12000000000002
89.81,80.54,74.12999999999998,98.12000000000002
89.81,80.54,74.12999999999998,98.12000000000002
100.0,78.4,81.25,120.68
100.0,78.4,81.25,120.68
100.0,78.4,81.25,120.68
100.0,78.4,81.25,120.68
102.11,69.06,94.87999999999998,142.02
102.11,69.06,94.87999999999998,142.02
102.11,69.06,94.87999999999998,142.02
102.11,69.06,94.87999999999998,142.02
96.29,62.43,104.93,125.06
96.29,62.43,104.93,125.06
96.29,62.43,104.93,125.06
96.29,62.43,104.93,125.06
90.36,63.11,69.11,100.37999999999998
90.36,63.11,69.11,100.37999999999998
90.36,63.11,69.11,100.37999999999998
90.36,63.11,69.11,100.37999999999998
88.62000000000002,61.99,34.05,91.92
88.62000000000002,61.99,34.05,91.92
88.62000000000002,61.99,34.05,91.92
88.62000000000002,61.99,34.05,91.92
80.54,74.12999999999998,19.55,89.12999999999998
80.54,74.12999999999998,19.55,89.12999999999998
80.54,74.12999999999998,19.55,89.12999999999998
80.54,74.12999999999998,19.55,89.12999999999998
78.4,81.25,29.77,89.11
78.4,81.25,29.77,89.11
78.4,81.25,29.77,89.11
78.4,81.25,29.77,89.11
69.06,94.87999999999998,29.13,81.57
69.06,94.87999999999998,29.13,81.57
69.06,94.87999999999998,29.13,81.57
69.06,94.87999999999998,29.13,81.57
62.43,104.93,29.84,73.85
62.43,104.93,29.84,73.85
62.43,104.93,29.84,73.85
62.43,104.93,29.84,73.85
63.11,69.11,32.49,68.42
63.11,69.11,32.49,68.42
63.11,69.11,32.49,68.42
63.11,69.11,32.49,68.42
61.99,34.05,70.5,66.38
